key,cnn,street,from,to,label,axis,yes,no,status,note,run
CUTLER|47TH|LOWER GREAT,4562000,Cutler Ave,47th Ave,Lower Great Hwy,Cutler Ave between 47th Ave and Lower Great Hwy,ew,0,0,counted,,one-block stub off Lower Great Hwy
IRVING|LA PLAYA|LOWER GREAT,7327000,Irving St,La Playa,Lower Great Hwy,Irving St between La Playa and Lower Great Hwy,ew,0,0,counted,,notes: 'I'
IRVING|48TH|LA PLAYA,7326000,Irving St,48th Ave,La Playa,Irving St between 48th Ave and La Playa,ew,0,1,counted,,notes: 'I'
IRVING|47TH|48TH,7325000,Irving St,47th Ave,48th Ave,Irving St between 47th Ave and 48th Ave,ew,0,1,counted,,notes: 'I'
IRVING|46TH|47TH,7324000,Irving St,46th Ave,47th Ave,Irving St between 46th Ave and 47th Ave,ew,0,0,counted,,notes: 'I'
IRVING|45TH|46TH,7323000,Irving St,45th Ave,46th Ave,Irving St between 45th Ave and 46th Ave,ew,0,0,counted,,notes: 'I'
JUDAH|LA PLAYA|LOWER GREAT,7686000,Judah St,La Playa,Lower Great Hwy,Judah St between La Playa and Lower Great Hwy,ew,0,0,counted,,notes: 'J' (nil)
JUDAH|48TH|LA PLAYA,7685000,Judah St,48th Ave,La Playa,Judah St between 48th Ave and La Playa,ew,0,0,counted,,notes: 'J' (nil)
JUDAH|47TH|48TH,7684000,Judah St,47th Ave,48th Ave,Judah St between 47th Ave and 48th Ave,ew,0,0,counted,,notes: 'J' (nil)
JUDAH|46TH|47TH,7683000,Judah St,46th Ave,47th Ave,Judah St between 46th Ave and 47th Ave,ew,0,0,counted,,notes: 'J' (nil)
JUDAH|45TH|46TH,7682000,Judah St,45th Ave,46th Ave,Judah St between 45th Ave and 46th Ave,ew,0,0,counted,,notes: 'J' (nil)
KIRKHAM|48TH|LOWER GREAT,7888000,Kirkham St,48th Ave,Lower Great Hwy,Kirkham St between 48th Ave and Lower Great Hwy,ew,1,0,counted,,notes: 'K'
KIRKHAM|47TH|48TH,7887000,Kirkham St,47th Ave,48th Ave,Kirkham St between 47th Ave and 48th Ave,ew,0,3,counted,,notes: 'K'
KIRKHAM|46TH|47TH,7886000,Kirkham St,46th Ave,47th Ave,Kirkham St between 46th Ave and 47th Ave,ew,0,1,counted,,notes: 'K'
KIRKHAM|45TH|46TH,7885000,Kirkham St,45th Ave,46th Ave,Kirkham St between 45th Ave and 46th Ave,ew,0,0,counted,,notes: 'K'
LAWTON|48TH|LOWER GREAT,8229000,Lawton St,48th Ave,Lower Great Hwy,Lawton St between 48th Ave and Lower Great Hwy,ew,0,0,counted,,notes: 'L' (first L)
LAWTON|47TH|48TH,8228000,Lawton St,47th Ave,48th Ave,Lawton St between 47th Ave and 48th Ave,ew,0,0,counted,,notes: 'L' (first L)
LAWTON|46TH|47TH,8227000,Lawton St,46th Ave,47th Ave,Lawton St between 46th Ave and 47th Ave,ew,0,0,counted,,notes: 'L' (first L)
LAWTON|45TH|46TH,8226000,Lawton St,45th Ave,46th Ave,Lawton St between 45th Ave and 46th Ave,ew,0,1,counted,,notes: 'L' (first L)
LINCOLN|LOWER GREAT|MLK,8387101,Lincoln Way,MLK Jr Dr,Lower Great Hwy,Lincoln Way between MLK Jr Dr and Lower Great Hwy,ew,,,no residences,no buildings; Beach Chalet frontage,notes: 'L' (second L); westernmost block is Beach Chalet frontage
LINCOLN|48TH|MLK,8386101,Lincoln Way,48th Ave,MLK Jr Dr,Lincoln Way between 48th Ave and MLK Jr Dr,ew,0,0,counted,,notes: 'L' (second L); westernmost block is Beach Chalet frontage
LINCOLN|47TH|48TH,8385101,Lincoln Way,47th Ave,48th Ave,Lincoln Way between 47th Ave and 48th Ave,ew,0,0,counted,,notes: 'L' (second L); westernmost block is Beach Chalet frontage
LINCOLN|46TH|47TH,8384101,Lincoln Way,46th Ave,47th Ave,Lincoln Way between 46th Ave and 47th Ave,ew,0,1,counted,,notes: 'L' (second L); westernmost block is Beach Chalet frontage
LINCOLN|45TH|46TH,8383101,Lincoln Way,45th Ave,46th Ave,Lincoln Way between 45th Ave and 46th Ave,ew,0,0,counted,,notes: 'L' (second L); westernmost block is Beach Chalet frontage
MORAGA|48TH|LOWER GREAT,9374000,Moraga St,48th Ave,Lower Great Hwy,Moraga St between 48th Ave and Lower Great Hwy,ew,0,0,counted,,notes: 'M'
MORAGA|47TH|48TH,9373000,Moraga St,47th Ave,48th Ave,Moraga St between 47th Ave and 48th Ave,ew,0,1,counted,,notes: 'M'
MORAGA|46TH|47TH,9372000,Moraga St,46th Ave,47th Ave,Moraga St between 46th Ave and 47th Ave,ew,2,2,counted,,notes: 'M'
MORAGA|45TH|46TH,9371000,Moraga St,45th Ave,46th Ave,Moraga St between 45th Ave and 46th Ave,ew,0,0,counted,,notes: 'M'
NORIEGA|48TH|LOWER GREAT,9683000,Noriega St,48th Ave,Lower Great Hwy,Noriega St between 48th Ave and Lower Great Hwy,ew,0,2,counted,,notes: 'N'
NORIEGA|47TH|48TH,9682000,Noriega St,47th Ave,48th Ave,Noriega St between 47th Ave and 48th Ave,ew,0,1,counted,,notes: 'N'
